id,name,age,birthplace
1,Gabrielle Reece,45,"La Jolla, San Diego, California, United States of America"
2,Kerri Walsh Jennings,37,"Santa Clara, California, United States of America"
3,Francesca Piccini,36,"Massa, Italy"
4,Jaqueline Carvalho,32,"Recife, Brazil"
5,April Ross,33,"Costa Mesa, California, United States of America"
6,Destinee Hooker,28,"Frankfurt (Oder), Germany"
7,Prisilla Rivera,31,"Santo Domingo, Dominican Republic"
8,Dallal Merwa Achour,21,"Blida, Algeria"
9,Fernanda Garay,29,"Porto Alegre, Brazil"
10,Antonella Del Core,35,"Naples, Italy"
11,Misty May-Treanor,38,"Los Angeles, California, United States of America"
12,Sara Goller,31,"Starnberg, Germany"
13,Maria Borodakova,29,"Nizhny Novgorod, Russia"
14,Stacy Sykora,38,"Fort Worth, Texas, United States of America"
15,Ciara Michel,30,"Taunton, Massachusetts, United States of America"
16,Elizabeth Reid,26,"London, United Kingdom"
17,Nellie Spicer,28,"Barrington, Illinois, United States of America"
18,Neslihan Demir,32,"Eskişehir, Turkey"
19,Kaori Inoue,33,"Toyooka, Japan"
20,Saori Sakoda,28,"Kagoshima, Japan"